"INFO  29.07.2017 17:21:31 - Пассажир 8 сел на 0 этаже
""INFO  29.07.2017 19:40:12 - Пассажир 8 сел на 3 этаже
""INFO  29.07.2017 19:40:12 - Пассажир 7 сел на 3 этаже
""INFO  29.07.2017 19:40:12 - Пассажир 8 сел на 3 этаже
""INFO  29.07.2017 19:40:53 - Пассажир 9 сел на 0 этаже
""INFO  29.07.2017 19:40:53 - Пассажир 4 сел на 1 этаже
""INFO  29.07.2017 19:40:53 - Пассажир 2 сел на 2 этаже
""INFO  29.07.2017 19:40:53 - Пассажир 5 сел на 2 этаже
""INFO  29.07.2017 19:40:53 - Пассажир 8 сел на 2 этаже
""INFO  29.07.2017 19:40:53 - Пассажир 1 сел на 4 этаже
""INFO  29.07.2017 19:40:53 - Пассажир 3 сел на 4 этаже
""INFO  29.07.2017 19:40:53 - Пассажир 1 сел на 4 этаже
""INFO  29.07.2017 19:40:53 - Пассажир 8 сел на 2 этаже
""INFO  29.07.2017 19:40:53 - Пассажир 10 сел на 2 этаже
""INFO  29.07.2017 19:40:53 - Пассажир 6 сел на 4 этаже
""INFO  29.07.2017 19:40:53 - Пассажир 7 сел на 4 этаже
""INFO  29.07.2017 19:40:53 - Пассажир 7 сел на 4 этаже
""INFO  29.07.2017 19:53:28 - Пассажир 5 сел на 0 этаже
""INFO  29.07.2017 19:53:28 - Пассажир 9 сел на 0 этаже
""INFO  29.07.2017 19:53:28 - Пассажир 8 сел на 1 этаже
""INFO  29.07.2017 19:53:28 - Пассажир 2 сел на 2 этаже
""INFO  29.07.2017 19:53:28 - Пассажир 4 сел на 2 этаже
""INFO  29.07.2017 19:53:28 - Пассажир 10 сел на 4 этаже
""INFO  29.07.2017 19:53:28 - Пассажир 10 сел на 4 этаже
""INFO  29.07.2017 19:53:28 - Пассажир 6 сел на 2 этаже
""INFO  29.07.2017 19:53:28 - Пассажир 1 сел на 3 этаже
""INFO  29.07.2017 19:53:28 - Пассажир 3 сел на 3 этаже
""INFO  29.07.2017 19:53:28 - Пассажир 1 сел на 3 этаже
""INFO  29.07.2017 19:53:30 - Пассажир 7 сел на 3 этаже
""INFO  31.07.2017 10:44:48 - Пассажир 9 сел на 0 этаже
""INFO  31.07.2017 10:44:48 - Пассажир 2 сел на 1 этаже
""INFO  31.07.2017 10:44:48 - Пассажир 4 сел на 1 этаже
""INFO  31.07.2017 10:44:48 - Пассажир 6 сел на 1 этаже
""INFO  31.07.2017 10:44:48 - Пассажир 5 сел на 3 этаже
""INFO  31.07.2017 10:44:48 - Пассажир 10 сел на 3 этаже
""INFO  31.07.2017 10:44:48 - Пассажир 1 сел на 4 этаже
""INFO  31.07.2017 10:44:48 - Пассажир 1 сел на 4 этаже
""INFO  31.07.2017 10:44:48 - Пассажир 3 сел на 4 этаже
""INFO  31.07.2017 10:44:48 - Пассажир 7 сел на 4 этаже
""INFO  31.07.2017 10:44:48 - Пассажир 8 сел на 4 этаже
""INFO  31.07.2017 10:44:48 - Пассажир 7 сел на 4 этаже
""INFO  31.07.2017 10:44:48 - Пассажир 8 сел на 4 этаже
""INFO  31.07.2017 10:48:19 - Пассажир 7 сел на 0 этаже
""INFO  31.07.2017 10:48:19 - Пассажир 4 сел на 1 этаже
""INFO  31.07.2017 10:48:19 - Пассажир 5 сел на 1 этаже
""INFO  31.07.2017 10:48:19 - Пассажир 6 сел на 1 этаже
""INFO  31.07.2017 10:48:19 - Пассажир 2 сел на 4 этаже
""INFO  31.07.2017 10:48:19 - Пассажир 2 сел на 4 этаже
""INFO  31.07.2017 10:48:19 - Пассажир 8 сел на 4 этаже
""INFO  31.07.2017 10:48:19 - Пассажир 3 сел на 2 этаже
""INFO  31.07.2017 10:48:19 - Пассажир 1 сел на 3 этаже
""INFO  31.07.2017 10:48:19 - Пассажир 9 сел на 3 этаже
""INFO  31.07.2017 10:48:19 - Пассажир 10 сел на 3 этаже
""INFO  31.07.2017 10:51:49 - Пассажир 1 находится на этаже 0, ему надо на 1 этаж
""INFO  31.07.2017 10:51:49 - Пассажир 2 находится на этаже 2, ему надо на 3 этаж
""INFO  31.07.2017 10:51:49 - Пассажир 3 находится на этаже 4, ему надо на 2 этаж
""INFO  31.07.2017 10:51:49 - Пассажир 4 находится на этаже 1, ему надо на 3 этаж
""INFO  31.07.2017 10:51:49 - Пассажир 5 находится на этаже 4, ему надо на 2 этаж
""INFO  31.07.2017 10:51:49 - Пассажир 6 находится на этаже 2, ему надо на 0 этаж
""INFO  31.07.2017 10:51:49 - Пассажир 7 находится на этаже 2, ему надо на 3 этаж
""INFO  31.07.2017 10:51:49 - Пассажир 9 находится на этаже 0, ему надо на 2 этаж
""INFO  31.07.2017 10:51:49 - Пассажир 8 находится на этаже 4, ему надо на 3 этаж
""INFO  31.07.2017 10:51:49 - Пассажир 10 находится на этаже 1, ему надо на 2 этаж
""INFO  31.07.2017 10:51:49 - Пассажир 1 сел на 0 этаже
""INFO  31.07.2017 10:51:49 - Пассажир 9 сел на 0 этаже
""INFO  31.07.2017 10:51:49 - Пассажир 4 сел на 1 этаже
""INFO  31.07.2017 10:51:49 - Пассажир 10 сел на 1 этаже
""INFO  31.07.2017 10:51:49 - Пассажир 2 сел на 2 этаже
""INFO  31.07.2017 10:51:49 - Пассажир 3 сел на 4 этаже
""INFO  31.07.2017 10:51:49 - Пассажир 5 сел на 4 этаже
""INFO  31.07.2017 10:51:49 - Пассажир 8 сел на 4 этаже
""INFO  31.07.2017 10:51:49 - Пассажир 6 сел на 2 этаже
""INFO  31.07.2017 10:51:49 - Пассажир 7 сел на 2 этаже
""INFO  31.07.2017 10:51:49 - Пассажир 7 сел на 2 этаже
""INFO  31.07.2017 10:55:22 - Пассажир 1 находится на этаже 0, ему надо на 4 этаж
""INFO  31.07.2017 10:55:22 - Пассажир 2 находится на этаже 2, ему надо на 4 этаж
""INFO  31.07.2017 10:55:22 - Пассажир 3 находится на этаже 0, ему надо на 3 этаж
""INFO  31.07.2017 10:55:22 - Пассажир 4 находится на этаже 2, ему надо на 3 этаж
""INFO  31.07.2017 10:55:22 - Пассажир 5 находится на этаже 1, ему надо на 2 этаж
""INFO  31.07.2017 10:55:22 - Пассажир 6 находится на этаже 2, ему надо на 0 этаж
""INFO  31.07.2017 10:55:22 - Пассажир 7 находится на этаже 3, ему надо на 2 этаж
""INFO  31.07.2017 10:55:22 - Пассажир 8 находится на этаже 3, ему надо на 4 этаж
""INFO  31.07.2017 10:55:22 - Пассажир 9 находится на этаже 4, ему надо на 2 этаж
""INFO  31.07.2017 10:55:22 - Пассажир 10 находится на этаже 2, ему надо на 4 этаж
""INFO  31.07.2017 10:55:22 - Пассажир 1 сел на 0 этаже
""INFO  31.07.2017 10:55:22 - Пассажир 3 сел на 0 этаже
""INFO  31.07.2017 10:55:22 - Пассажир 5 сел на 1 этаже
""INFO  31.07.2017 10:55:22 - Пассажир 2 сел на 2 этаже
""INFO  31.07.2017 10:55:22 - Пассажир 5 прибыл на этаж 2
""INFO  31.07.2017 10:55:22 - Пассажир 7 сел на 3 этаже
""INFO  31.07.2017 10:55:22 - Пассажир 3 прибыл на этаж 3
""INFO  31.07.2017 10:55:22 - Пассажир 9 сел на 4 этаже
""INFO  31.07.2017 10:55:22 - Пассажир 1 прибыл на этаж 4
""INFO  31.07.2017 10:55:22 - Пассажир 9 сел на 4 этаже
""INFO  31.07.2017 10:55:22 - Пассажир 2 прибыл на этаж 4
""INFO  31.07.2017 10:55:22 - Пассажир 7 сел на 3 этаже
""INFO  31.07.2017 10:55:22 - Пассажир 7 прибыл на этаж 2
""INFO  31.07.2017 10:55:22 - Пассажир 9 прибыл на этаж 2
""INFO  31.07.2017 10:55:22 - Пассажир 4 сел на 2 этаже
""INFO  31.07.2017 10:55:22 - Пассажир 6 сел на 2 этаже
""INFO  31.07.2017 10:55:22 - Пассажир 10 сел на 2 этаже
""INFO  31.07.2017 10:55:22 - Пассажир 4 прибыл на этаж 3
""INFO  31.07.2017 10:55:22 - Пассажир 10 прибыл на этаж 4
""INFO  31.07.2017 10:55:22 - Пассажир 8 сел на 3 этаже
""INFO  31.07.2017 10:55:22 - Пассажир 6 сел на 2 этаже
""INFO  31.07.2017 10:55:22 - Пассажир 6 прибыл на этаж 0
""INFO  31.07.2017 10:55:22 - Пассажир 8 сел на 3 этаже
""INFO  31.07.2017 10:55:22 - Пассажир 8 прибыл на этаж 4
""INFO  31.07.2017 10:56:35 - Пассажир 1 находится на этаже 2, ему надо на 3 этаж
""INFO  31.07.2017 10:56:35 - Пассажир 2 находится на этаже 4, ему надо на 1 этаж
""INFO  31.07.2017 10:56:35 - Пассажир 3 находится на этаже 0, ему надо на 1 этаж
""INFO  31.07.2017 10:56:35 - Пассажир 4 находится на этаже 4, ему надо на 0 этаж
""INFO  31.07.2017 10:56:35 - Пассажир 5 находится на этаже 1, ему надо на 2 этаж
""INFO  31.07.2017 10:56:35 - Пассажир 6 находится на этаже 1, ему надо на 4 этаж
""INFO  31.07.2017 10:56:35 - Пассажир 7 находится на этаже 4, ему надо на 1 этаж
""INFO  31.07.2017 10:56:35 - Пассажир 8 находится на этаже 0, ему надо на 2 этаж
""INFO  31.07.2017 10:56:35 - Пассажир 9 находится на этаже 3, ему надо на 4 этаж
""INFO  31.07.2017 10:56:35 - Пассажир 10 находится на этаже 3, ему надо на 2 этаж
""INFO  31.07.2017 10:56:35 - Пассажир 3 сел на 0 этаже
""INFO  31.07.2017 10:56:35 - Пассажир 8 сел на 0 этаже
""INFO  31.07.2017 10:56:35 - Лифт переместился с 0 на 1 этаж
""INFO  31.07.2017 10:56:35 - Пассажир 5 сел на 1 этаже
